hg,n,K
0.2857142857142857,2.0,5.56e-05
2.0,1.6,4e-06
0.5555555555555556,1.79,2.2000000000000003e-05
0.2777777777777778,4.16,7.47e-05
0.625,2.41,9.419999999999999e-07
0.625,2.32,1.11e-06
1.25,2.51,1.3e-06
0.303030303030303,2.2,1.33e-06
1.0,3.0,1.3899999999999998e-06
0.9090909090909092,2.48,1.3899999999999998e-06
0.4761904761904761,2.32,1.53e-06
0.6666666666666666,2.26,1.71e-06
2.0,2.66,2.1099999999999997e-06
1.0,3.0,2.7799999999999996e-06
0.3703703703703703,2.45,4.3899999999999995e-06
1.4285714285714286,2.66,5.059999999999999e-06
1.0,3.0,5.559999999999999e-06
1.0,3.0,8.33e-06
1.0,3.0,1.1100000000000002e-05
0.2857142857142857,2.74,1.2100000000000001e-05
1.0,3.0,1.39e-05
1.0,3.0,1.67e-05
1.0,3.0,2.2200000000000004e-05
1.0,3.0,2.78e-05
1.0,3.0,5.56e-05
0.5555555555555556,2.76,1.25e-05
0.2083333333333333,3.1,0.00011100000000000001
1.25,1.4,0.000117
1.25,1.4,0.000117
0.144927536231884,3.2,0.000125
1.0,2.0,0.000278
0.2777777777777778,1.6,3e-06
0.2857142857142857,2.0,9.26e-06
0.25,2.0,2.78e-05
1.0,2.0,1.39e-05
0.1333333333333333,1.89,2.82e-05
0.303030303030303,1.59,0.000282
0.2857142857142857,2.0,3.61e-05
0.3703703703703703,2.0,2.31e-06
0.2777777777777778,3.16,0.000477
0.2777777777777778,3.16,0.000521
0.2777777777777778,3.16,0.000781
0.625,2.41,9.419999999999999e-07
0.9090909090909092,2.48,1.3899999999999998e-06
0.4761904761904761,2.32,1.53e-06
0.6666666666666666,2.26,1.71e-06
2.0,2.66,2.1099999999999997e-06
0.3703703703703703,2.45,4.3899999999999995e-06
0.2857142857142857,4.16,7.47e-05
0.4347826086956522,1.29,1.72e-05
0.4347826086956522,1.29,1.72e-05
0.4347826086956522,1.29,0.000644
0.25,2.0,2.78e-07
0.5,2.1,2.1e-06
0.7692307692307692,1.6,2.25e-05
0.0714285714285714,2.6,0.0008900000000000001
0.6666666666666666,2.0,5e-05
0.5,1.41,1.2499999999999999e-06
0.2,2.0,2.7799999999999996e-06
0.3703703703703703,1.4,9.1e-06
0.2439024390243902,2.19,1.2400000000000002e-05
0.2439024390243902,2.0,1.2400000000000002e-05
0.2439024390243902,2.19,1.2400000000000002e-05
1.0,1.19,8.33e-06
1.0,1.21,8.33e-06
1.0,1.26,8.33e-06
0.3846153846153846,1.29,8.33e-06
0.2857142857142857,2.0,5.6e-05
1.0,1.21,1.14e-05
0.3846153846153846,1.29,2.3100000000000002e-05
1.0,1.26,9.300000000000001e-05
1.0,1.19,0.000173
0.9090909090909092,2.48,1.3899999999999998e-06
0.6666666666666666,2.26,1.7199999999999998e-06
0.2777777777777778,4.16,7.47e-05
1.0,3.0,6.9400000000000005e-06
0.5263157894736842,6.0,1e-05
0.1666666666666666,2.0,0.00278
0.1666666666666666,2.0,0.00278
0.5,1.9,4.9e-07
0.5882352941176471,1.9,1.0099999999999999e-06
0.5263157894736842,1.6,1.1699999999999998e-06
0.625,1.5,1.18e-06
0.5882352941176471,2.0,1.2e-06
0.9090909090909092,1.7,5.0099999999999995e-06
0.9090909090909092,1.5,5.0999999999999995e-06
2.0,1.5,6.98e-06
1.6666666666666667,1.8,1.2100000000000001e-05
2.0,1.5,1.55e-05
2.0,1.5,3.1100000000000004e-05
1.25,1.8,8.53e-05
1.0,1.21,1.14e-05
0.3703703703703703,1.27,1.6000000000000003e-05
1.0,1.26,9.300000000000001e-05
0.4545454545454545,1.39,0.00013500000000000003
0.3225806451612903,1.22,0.000173
1.0,1.19,0.000173
1.0,2.0,9.640000000000001e-06
1.0,2.0,0.0009640000000000001
0.6666666666666666,2.0,5e-05
0.6666666666666666,2.0,8.33e-05
0.625,1.41,9.439999999999999e-07
0.9090909090909092,3.6,0.000278
0.6666666666666666,2.0,8.33e-05
0.1666666666666666,2.0,2.7799999999999996e-06
1.0,3.0,6.94e-05
0.2857142857142857,2.0,2.78e-05
0.1666666666666666,2.0,1.39e-05
0.1666666666666666,2.0,2.7799999999999996e-06
0.1,2.0,1.11e-06
0.6666666666666666,2.0,2.78e-05
0.4,2.0,2.78e-05
0.2777777777777778,3.16,2.78e-05
0.6666666666666666,2.0,0.000278
0.2777777777777778,3.16,0.000278
0.5,2.0,1.16e-05
0.2857142857142857,2.0,5.6e-05
0.2857142857142857,2.0,6.25e-05
1.0,2.0,1e-06
0.3333333333333333,3.0,0.0001
1.0,2.0,1.16e-05
3.333333333333333,2.0,4.17e-06
0.2857142857142857,2.0,5.6e-05
0.2857142857142857,2.0,5.6e-05
